Species	Ne	logNe	t	midT	Mass.g
Acinonyx_jubatus_dnaZoo	4836.30126348082	3.68451334615734	840.653973812934	1325.33328995067	46700
Acinonyx_jubatus_dnaZoo	5638.6700149256	3.75117667964062	1810.01260608841	2368.89663402265	46700
Acinonyx_jubatus_dnaZoo	4797.49785867404	3.68101478956358	2927.78066195689	3572.23019029458	46700
Acinonyx_jubatus_dnaZoo	5620.39577800939	3.7497668988704	4216.67971863226	4959.79487994715	46700
Acinonyx_jubatus_dnaZoo	6834.28952378877	3.83469337304636	5702.91004126204	6559.79660676308	46700
Acinonyx_jubatus_dnaZoo	7821.18256534057	3.89327242349119	7416.68317226412	8404.75961634712	46700
Acinonyx_jubatus_dnaZoo	8874.68459243085	3.94815292711294	9392.83606043013	10532.1876370077	46700
Acinonyx_jubatus_dnaZoo	10169.4149624713	4.00729596906053	11671.5392135852	12985.326241728	46700
Acinonyx_jubatus_dnaZoo	11600.5800591438	4.06447970562235	14299.1132698707	15814.0419282406	46700
Acinonyx_jubatus_dnaZoo	12994.4590583185	4.1137582051239	17328.9705866105	21090.1471610539	46700
Acinonyx_jubatus_dnaZoo	13538.7068489341	4.13157718464511	24851.3237354972	29852.3386100538	46700
Acinonyx_jubatus_dnaZoo	13895.4892441496	4.14287384239039	34853.3534846104	41502.9082929321	46700
Acinonyx_jubatus_dnaZoo	14266.2937735465	4.15431116283036	48152.4631012537	56993.9843240423	46700
Acinonyx_jubatus_dnaZoo	14812.8321948699	4.17063810301873	65835.5055468309	77591.5553556377	46700
Acinonyx_jubatus_dnaZoo	15919.3631423575	4.20192568970239	89347.6051644444	104978.93190389	46700
Acinonyx_jubatus_dnaZoo	17455.7118435929	4.24193756403194	120610.258643335	141394.312777935	46700
Acinonyx_jubatus_dnaZoo	18986.3330208855	4.27844109414326	162178.366912535	189813.699054873	46700
Acinonyx_jubatus_dnaZoo	20225.3129995867	4.30589525131974	217449.031197212	254194.104014646	46700
Acinonyx_jubatus_dnaZoo	21465.2843253861	4.33173664544199	290939.17683208	339796.935059996	46700
Acinonyx_jubatus_dnaZoo	23157.5405439752	4.36469243308223	388654.693287911	453617.975601095	46700
Acinonyx_jubatus_dnaZoo	25770.0852021132	4.41111585443552	518581.257914278	604959.106632092	46700
Acinonyx_jubatus_dnaZoo	32739.8847644615	4.51507714647951	691336.955349906	806188.4912244	46700
Addax_nasomaculatus	3361.16485302345	3.52648981357113	3596.25231139716	5671.53428258632	70000.3
Addax_nasomaculatus	7093.32491757566	3.85084985364217	7746.81625377548	10141.973704933	70000.3
Addax_nasomaculatus	7798.28991134092	3.89199937660154	12537.1311560906	15301.4683861531	70000.3
Addax_nasomaculatus	12387.4792666598	4.09298294060068	18065.8056162155	21256.2264872177	70000.3
