midT	fit	lwr	upr
260.15480035336	3.50870659404521	3.45591181751195	3.56150137057848
260.471495890602	3.50871380390889	3.45591959534626	3.56150801247152
260.788576952397	3.50872102254938	3.45592738264552	3.56151466245324
261.106044008059	3.50872824997738	3.45593517942125	3.56152132053351
261.42389752747	3.50873548620358	3.45594298568497	3.56152798672218
261.742137981088	3.50874273123868	3.45595080144823	3.56153466102914
262.06076583994	3.50874998509343	3.45595862672258	3.56154134346428
262.379781575628	3.50875724777854	3.45596646151959	3.5615480340375
262.69918566033	3.50876451930478	3.45597430585084	3.56155473275872
263.018978566794	3.5087717996829	3.45598215972794	3.56156143963785
263.339160768348	3.50877908892367	3.45599002316249	3.56156815468486
263.659732738894	3.5087863870379	3.45599789616613	3.56157487790967
263.980694952912	3.50879369403637	3.45600577875049	3.56158160932226
264.302047885458	3.50880100992991	3.45601367092722	3.56158834893261
264.623792012168	3.50880833472935	3.456021572708	3.56159509675069
264.945927809256	3.50881566844551	3.45602948410451	3.56160185278652
265.268455753517	3.50882301108927	3.45603740512845	3.56160861705009
265.591376322324	3.50883036267148	3.45604533579152	3.56161538955145
265.914689993634	3.50883772320303	3.45605327610546	3.56162217030061
266.238397245984	3.50884509269482	3.45606122608199	3.56162895930764
266.562498558494	3.50885247115774	3.45606918573289	3.56163575658259
266.886994410866	3.50885985860273	3.45607715506991	3.56164256213554
267.211885283389	3.50886725504071	3.45608513410485	3.56164937597657
267.537171656933	3.50887466048263	3.45609312284948	3.56165619811578
267.862854012957	3.50888207493946	3.45610112131564	3.56166302856328
268.188932833503	3.50888949842216	3.45610912951513	3.56166986732919
268.515408601202	3.50889693094173	3.45611714745981	3.56167671442365
268.842281799272	3.50890437250917	3.45612517516153	3.5616835698568
269.169552911518	3.50891182313548	3.45613321263215	3.56169043363881
269.497222422334	3.5089192828317	3.45614125988357	3.56169730577984
269.825290816707	3.50892675160888	3.45614931692767	3.56170418629008
270.153758580209	3.50893422947805	3.45615738377637	3.56171107517973
270.482626199008	3.5089417164503	3.4561654604416	3.561717972459
270.811894159862	3.5089492125367	3.4561735469353	3.5617248781381
271.14156295012	3.50895671774835	3.45618164326942	3.56173179222728
271.471633057727	3.50896423209636	3.45618974945594	3.56173871473678
271.80210497122	3.50897175559184	3.45619786550683	3.56174564567685
272.132979179731	3.50897928824594	3.4562059914341	3.56175258505777
272.464256172988	3.5089868300698	3.45621412724977	3.56175953288983
272.795936441315	3.50899438107459	3.45622227296586	3.56176648918332
273.128020475633	3.50900194127148	3.45623042859441	3.56177345394855
273.460508767461	3.50900951067166	3.45623859414748	3.56178042719584
