Species	Ne	logNe	t	midT	Mass.g
Acinonyx_jubatus_dnaZoo	10749.9943563004	4.031408236249	0	420.326986906467	46700
Acinonyx_jubatus_dnaZoo	4836.30126348082	3.68451334615734	840.653973812934	1325.33328995067	46700
Acinonyx_jubatus_dnaZoo	5638.6700149256	3.75117667964062	1810.01260608841	2368.89663402265	46700
Acinonyx_jubatus_dnaZoo	4797.49785867404	3.68101478956358	2927.78066195689	3572.23019029458	46700
Acinonyx_jubatus_dnaZoo	5620.39577800939	3.7497668988704	4216.67971863226	4959.79487994715	46700
Acinonyx_jubatus_dnaZoo	6834.28952378877	3.83469337304636	5702.91004126204	6559.79660676308	46700
Acinonyx_jubatus_dnaZoo	7821.18256534057	3.89327242349119	7416.68317226412	8404.75961634712	46700
Acinonyx_jubatus_dnaZoo	8874.68459243085	3.94815292711294	9392.83606043013	10532.1876370077	46700
Acinonyx_jubatus_dnaZoo	10169.4149624713	4.00729596906053	11671.5392135852	12985.326241728	46700
Acinonyx_jubatus_dnaZoo	11600.5800591438	4.06447970562235	14299.1132698707	15814.0419282406	46700
Acinonyx_jubatus_dnaZoo	12994.4590583185	4.1137582051239	17328.9705866105	21090.1471610539	46700
Acinonyx_jubatus_dnaZoo	13538.7068489341	4.13157718464511	24851.3237354972	29852.3386100538	46700
Acinonyx_jubatus_dnaZoo	13895.4892441496	4.14287384239039	34853.3534846104	41502.9082929321	46700
Acinonyx_jubatus_dnaZoo	14266.2937735465	4.15431116283036	48152.4631012537	56993.9843240423	46700
Acinonyx_jubatus_dnaZoo	14812.8321948699	4.17063810301873	65835.5055468309	77591.5553556377	46700
Acinonyx_jubatus_dnaZoo	15919.3631423575	4.20192568970239	89347.6051644444	104978.93190389	46700
Acinonyx_jubatus_dnaZoo	17455.7118435929	4.24193756403194	120610.258643335	141394.312777935	46700
Acinonyx_jubatus_dnaZoo	18986.3330208855	4.27844109414326	162178.366912535	189813.699054873	46700
Acinonyx_jubatus_dnaZoo	20225.3129995867	4.30589525131974	217449.031197212	254194.104014646	46700
Acinonyx_jubatus_dnaZoo	21465.2843253861	4.33173664544199	290939.17683208	339796.935059996	46700
Acinonyx_jubatus_dnaZoo	23157.5405439752	4.36469243308223	388654.693287911	453617.975601095	46700
Acinonyx_jubatus_dnaZoo	25770.0852021132	4.41111585443552	518581.257914278	604959.106632092	46700
Acinonyx_jubatus_dnaZoo	32739.8847644615	4.51507714647951	691336.955349906	806188.4912244	46700
Acinonyx_jubatus_dnaZoo	57054.3485940564	4.75628875126833	921040.027098894	1073751.34705574	46700
Addax_nasomaculatus	49756.1223421224	4.69684652700754	0	1798.12615569858	70000.3
Addax_nasomaculatus	3361.16485302345	3.52648981357113	3596.25231139716	5671.53428258632	70000.3
Addax_nasomaculatus	7093.32491757566	3.85084985364217	7746.81625377548	10141.973704933	70000.3
Addax_nasomaculatus	7798.28991134092	3.89199937660154	12537.1311560906	15301.4683861531	70000.3
Addax_nasomaculatus	12387.4792666598	4.09298294060068	18065.8056162155	21256.2264872177	70000.3
Addax_nasomaculatus	25274.9660341565	4.40269058063541	24446.6473582198	28128.8266608861	70000.3
Addax_nasomaculatus	47458.1273956696	4.67631059781364	31811.0059635524	36060.7413323928	70000.3
Addax_nasomaculatus	65473.4211511586	4.81606503449541	40310.4767012333	45215.2489083052	70000.3
Addax_nasomaculatus	61389.9244762413	4.7880970990983	50120.0211153772	55780.7948613503	70000.3
Addax_nasomaculatus	47376.7493893861	4.67556525962267	61441.5686073233	67974.8708791178	70000.3
Addax_nasomaculatus	32406.1370562898	4.51062726444397	74508.1731509123	90751.0446209572	70000.3
Addax_nasomaculatus	23387.5944650369	4.36898555467424	106993.916091002	128629.903369412	70000.3
Addax_nasomaculatus	19345.0689695425	4.28657028241799	150265.890647823	179085.668380772	70000.3
Addax_nasomaculatus	18900.2266743483	4.2764670127885	207905.446113722	246294.246120338	70000.3
Addax_nasomaculatus	22693.5644197724	4.35590271475938	284683.046126954	335818.068041544	70000.3
Addax_nasomaculatus	29114.2882543345	4.46410617754577	386953.089956134	455066.458067534	70000.3
Addax_nasomaculatus	30421.6720565048	4.48318308035988	523179.826178935	613908.855751432	70000.3
Addax_nasomaculatus	26826.8393032789	4.42856950778171	704637.885323929	825491.64774108	70000.3
Addax_nasomaculatus	29675.4983803717	4.47239802137651	946345.410158232	1107326.21155334	70000.3
Addax_nasomaculatus	50516.4540347467	4.70343285797216	1268307.01294845	1482738.22220085	70000.3
Addax_nasomaculatus	86506.9743151364	4.93705112231427	1697169.43145325	1982798.17166923	70000.3
Addax_nasomaculatus	99816.2929554517	4.99920143670936	2268426.91188522	2648892.8782052	70000.3
Addax_nasomaculatus	80990.6868619717	4.90843508212565	3029358.84452517	3536150.81307262	70000.3
Addax_nasomaculatus	59436.5451362026	4.77405355728196	4042942.78162007	4718004.73753808	70000.3
Aepyceros_melampus	15514.1564953976	4.1907281679735	0	1992.31713821471	52500.1
Aepyceros_melampus	6737.40698397736	3.82849278240641	3984.63427642942	6290.63541234616	52500.1
Aepyceros_melampus	9745.46145639404	3.98880240817614	8596.63654826291	11265.7102297825	52500.1
Aepyceros_melampus	9470.48838836455	3.97637237593069	13934.7839113021	17024.0947561333	52500.1
Aepyceros_melampus	8166.77331554761	3.91205050107974	20113.4056009644	23689.1186140866	52500.1
Aepyceros_melampus	8404.03250682965	3.92448772358987	27264.8316272087	31403.5292832257	52500.1
Aepyceros_melampus	10210.6881207471	4.00905501113423	35542.2269392426	40332.5493798473	52500.1
Aepyceros_melampus	13715.5083837091	4.13721190994621	45122.871820452	50667.4152957647	52500.1
Aepyceros_melampus	18563.7526730938	4.26866577363268	56211.9587710774	62629.4729845363	52500.1
Aepyceros_melampus	22243.7721591269	4.34720843798998	69046.9871979952	76474.9186162126	52500.1
Aepyceros_melampus	21769.410240991	4.33784666365053	83902.85003443	102451.360126318	52500.1
Aepyceros_melampus	18160.4558193265	4.25912674491931	120999.870218207	145848.996478307	52500.1
Aepyceros_melampus	22836.2683613134	4.35862513799346	170698.122738408	203988.078256747	52500.1
Aepyceros_melampus	48912.9376075191	4.68942374641205	237278.033775085	281876.02594644	52500.1
Aepyceros_melampus	79095.6468989393	4.8981525823625	326474.018117795	386221.196350597	52500.1
Aepyceros_melampus	71983.2720914285	4.85723158417509	445968.374583399	526010.661982046	52500.1
Aepyceros_melampus	57938.0322855946	4.76296374143696	606052.949380692	713284.252372841	52500.1
Aepyceros_melampus	62122.745633397	4.79325064195483	820515.55536499	964171.52416716	52500.1
Aepyceros_melampus	82196.8161985861	4.91485499595655	1107827.49296933	1300280.97247242	52500.1
Aepyceros_melampus	93813.5805389313	4.97226571179273	1492734.45197551	1750561.13388564	52500.1
Aepyceros_melampus	82696.8272274268	4.91748884759301	2008387.81579576	2353793.87484141	52500.1
Aepyceros_melampus	66517.1872484702	4.82293387632175	2699199.93388705	3161934.60797726	52500.1
Aepyceros_melampus	57046.8754375832	4.75623186229714	3624669.28206746	4244587.12368553	52500.1
Aepyceros_melampus	52992.6047608495	4.72421526704143	4864504.9653036	5694998.44650199	52500.1
Ailuropoda_melanoleuca	2218.78057674313	3.34611435539942	0	4316.13589699135	108400
Ailuropoda_melanoleuca	2112.06975229531	3.32470825691894	8632.27179398269	13613.3201912112	108400
Ailuropoda_melanoleuca	10607.1385730242	4.02559824256777	18594.3685884397	24342.7610690443	108400
Ailuropoda_melanoleuca	28756.6775059432	4.4587387070172	30091.153549649	36725.1015613682	108400
Ailuropoda_melanoleuca	57541.1615394034	4.75997862441322	43359.0495730875	51014.9753594153	108400
Ailuropoda_melanoleuca	74323.4825490705	4.87112605104492	58670.9011457432	67506.2431686559	108400
Ailuropoda_melanoleuca	46949.081708802	4.67162710218892	76341.5851915687	86538.0357372688	108400
Ailuropoda_melanoleuca	25267.7015538825	4.40256573864075	96734.4862829689	108501.727829622	108400
Ailuropoda_melanoleuca	19198.5715359826	4.28326891635359	120268.969376276	133848.986559382	108400
Ailuropoda_melanoleuca	19123.301708586	4.28156287695825	147429.003742487	163101.059590264	108400
Ailuropoda_melanoleuca	17354.616727534	4.23941502682592	178773.115438041	217732.12893204	108400
Ailuropoda_melanoleuca	15228.7429859857	4.18266405719159	256691.14242604	308578.225123503	108400
Ailuropoda_melanoleuca	24015.5052861532	4.3804917286256	360465.307820966	429570.480395935	108400
Ailuropoda_melanoleuca	46815.2261012661	4.67038712521744	498675.652970904	590712.526665671	108400
Ailuropoda_melanoleuca	69000.7335658329	4.83885370786624	682749.400360437	805327.57799709	108400
Ailuropoda_melanoleuca	78526.2690460903	4.89501496366667	927905.755633743	1091159.99308812	108400
Ailuropoda_melanoleuca	85414.6449707997	4.93153234006512	1254414.23054249	1471842.37771082	108400
Ailuropoda_melanoleuca	84486.5004180891	4.9267873212302	1689270.52487914	1978849.52704296	108400
Ailuropoda_melanoleuca	72522.8292860581	4.86047473860265	2268428.52920679	2654100.75971739	108400
Ailuropoda_melanoleuca	61343.3654369534	4.78776759868599	3039772.99022798	3553425.80440154	108400
Ailuropoda_melanoleuca	55520.8683591762	4.7444562499657	4067078.6185751	4751180.79818786	108400
Ailuropoda_melanoleuca	52864.2395368049	4.72316198917043	5435282.97780063	6346396.04724602	108400
Ailuropoda_melanoleuca	51328.1381921284	4.71035551153235	7257509.11669142	8470963.84619411	108400
Ailuropoda_melanoleuca	49854.8698813852	4.69770758710733	9684418.5756968	11300543.3245699	108400
Alces_alces_gigas	1309.44901352175	3.11708859281299	0	875.21879569469	356998
Alces_alces_gigas	1865.34209854467	3.27075849184743	1750.43759138938	2761.11372093773	356998
Alces_alces_gigas	54012.0341330219	4.73249053343953	3771.78985048608	4938.88800224373	356998
Alces_alces_gigas	22265.3074955032	4.34762869734185	6105.98615400137	7453.71571445395	356998
Alces_alces_gigas	5346.49400287209	3.72806908401451	8801.44527490652	10357.7625095643	356998
Alces_alces_gigas	2141.38314850039	3.33069438069567	11914.0797442221	13711.2677008917	356998
Alces_alces_gigas	1722.74003337885	3.23621974605671	15508.4556575612	17583.7938210612	356998
Alces_alces_gigas	2387.74901836722	3.37798867519327	19659.1319845613	22055.6695736853	356998
Alces_alces_gigas	4384.54543140677	3.64192457447174	24452.2071628093	27219.6561102127	356998
Alces_alces_gigas	8103.21379865233	3.9086572976693	29987.1050576161	33182.8711959155	356998
Alces_alces_gigas	16380.4511717829	4.21432585949505	36378.6373342149	44330.543005451	356998
Alces_alces_gigas	24601.0937655628	4.39095441628178	52282.4486766871	62886.2593552323	356998
Alces_alces_gigas	23023.3478682561	4.36216847546202	73490.0700337775	87630.1775193518	356998
Alces_alces_gigas	17880.0178288929	4.2523679475128	101770.285004926	120626.019586094	356998
